Nr,Model_Name,lid_pos,cam_pos,ra_pos,lid_dim,cam_dim,ra_dim,lid_yaw,cam_yaw,ra_yaw,lid_vel,cam_vel,ra_vel,lid_drop,cam_drop,ra_drop,lid_clas,cam_clas,ra_clas,lid_at,cam_at,ra_at,FP,NDS,,,,,,,,,,,,,,,,,,,,,,
43,M_Base,2,1.466666667,0.633333333,3.4,2.1,0,7.6,5.5,0,6.666666667,10.66666667,77,8,5,2.333333333,1.8,1.2,1.8,1.8,0,0,0,0.092009996,,,,,,,,,,,,,,,,,,,,,,
44,M_Base,3,2.2,0.633333333,0,0,0,7.6,0,3.8,0,0,77,0,0,4.666666667,1.2,0,0,1.2,0,1.2,2.666666667,0.280426483,,,,,,,,,,,,,,,,,,,,,,
45,M_Base,0,0.733333333,0.633333333,0,1.4,0,0,0,3.8,20,32,0,0,5,2.333333333,1.8,0,0.6,1.8,1.8,0.6,8,0.611069505,,,,,,,,,,,,,,,,,,,,,,
46,M_Base,0,0,1.266666667,1.133333333,0.7,1.7,0,5.5,3.8,20,0,51.33333333,5.333333333,0,2.333333333,1.8,1.2,0,1.8,0.6,1.2,0,0.377765393,,,,,,,,,,,,,,,,,,,,,,
47,M_Base,2,2.2,1.9,2.266666667,2.1,1.7,2.533333333,5.5,0,6.666666667,32,51.33333333,8,0,0,1.8,0,1.2,1.8,0,0.6,0,0.148990028,,,,,,,,,,,,,,,,,,,,,,
48,M_Base,1,2.2,0.633333333,3.4,2.1,1.7,5.066666667,3.666666667,3.8,0,0,0,5.333333333,0,0,0,0.6,0.6,1.2,0,0.6,5.333333333,0.236288696,,,,,,,,,,,,,,,,,,,,,,
49,M_Base,0,0,0.633333333,2.266666667,0,0,0,5.5,0,0,10.66666667,25.66666667,8,5,0,1.8,0,1.2,0,1.2,1.2,8,0.343759578,,,,,,,,,,,,,,,,,,,,,,
50,M_Base,3,0,1.9,0,2.1,1.133333333,7.6,0,3.8,20,10.66666667,0,2.666666667,3.333333333,2.333333333,0,0.6,0.6,1.8,1.8,0,8,0.182288763,,,,,,,,,,,,,,,,,,,,,,
51,M_Base,0,0,1.9,3.4,0,0.566666667,0,1.833333333,2.533333333,13.33333333,10.66666667,77,5.333333333,1.666666667,0,0.6,0.6,1.2,0,1.8,1.8,5.333333333,0.319627067,,,,,,,,,,,,,,,,,,,,,,
52,M_Base,3,0.733333333,1.9,1.133333333,0,0,5.066666667,1.833333333,0,20,10.66666667,51.33333333,8,1.666666667,0,0,0,1.8,0,1.8,1.8,0,0.132682392,,,,,,,,,,,,,,,,,,,,,,
53,M_Base,2,0,1.266666667,0,1.4,0.566666667,2.533333333,3.666666667,0,20,21.33333333,0,5.333333333,5,2.333333333,1.8,1.8,0.6,0,0.6,1.2,8,0.214558047,,,,,,,,,,,,,,,,,,,,,,
54,M_Base,0,0,1.9,0,2.1,1.133333333,2.533333333,1.833333333,0,6.666666667,21.33333333,77,5.333333333,0,0,0.6,1.8,0,1.2,1.2,0,0,0.369004878,,,,,,,,,,,,,,,,,,,,,,
55,M_Base,1,2.2,1.266666667,1.133333333,2.1,1.133333333,0,0,0,6.666666667,32,25.66666667,0,5,0,0,0.6,1.2,1.8,0.6,0.6,8,0.473246118,,,,,,,,,,,,,,,,,,,,,,
56,M_Base,1,0,0,0,0,1.7,0,5.5,3.8,6.666666667,21.33333333,77,0,0,0,1.8,0,1.8,1.2,0.6,1.8,8,0.461477974,,,,,,,,,,,,,,,,,,,,,,
57,M_Base,3,1.466666667,1.9,0,0,1.133333333,2.533333333,5.5,3.8,0,32,0,2.666666667,5,7,1.8,1.8,1.8,0,0,0,2.666666667,0.259546646,,,,,,,,,,,,,,,,,,,,,,
58,M_Base,2,0,0.633333333,1.133333333,0,0,2.533333333,1.833333333,1.266666667,6.666666667,32,77,8,5,7,0,0,0,1.8,1.8,0.6,5.333333333,0.190974771,,,,,,,,,,,,,,,,,,,,,,
59,M_Base,0,0.733333333,0,1.133333333,0,1.7,2.533333333,1.833333333,3.8,13.33333333,32,77,0,1.666666667,7,1.8,0.6,1.2,0,1.8,0,8,0.554141296,,,,,,,,,,,,,,,,,,,,,,
60,M_Base,0,2.2,0,3.4,0,1.133333333,7.6,3.666666667,1.266666667,20,0,25.66666667,8,5,7,1.8,0.6,1.8,0.6,0,1.8,5.333333333,0.187031778,,,,,,,,,,,,,,,,,,,,,,
61,M_Base,1,0,1.266666667,0,2.1,0,2.533333333,0,0,6.666666667,32,77,8,3.333333333,7,1.2,1.8,1.2,0,0,0,5.333333333,0.259549847,,,,,,,,,,,,,,,,,,,,,,
