Nr,Model_Name,NDS,,,,,,,,,,,,,,,,,,,,,,
17,M_K_DO,0.230591918,,,,,,,,,,,,,,,,,,,,,,
18,M_K_DO,0.183896707,,,,,,,,,,,,,,,,,,,,,,
19,M_K_DO,0.473622418,,,,,,,,,,,,,,,,,,,,,,
20,M_K_DO,0.406694742,,,,,,,,,,,,,,,,,,,,,,
21,M_K_DO,0.408667448,,,,,,,,,,,,,,,,,,,,,,
22,M_K_DO,0.041986582,,,,,,,,,,,,,,,,,,,,,,
23,M_K_DO,0.248778027,,,,,,,,,,,,,,,,,,,,,,
24,M_K_DO,0.170217144,,,,,,,,,,,,,,,,,,,,,,
25,M_K_DO,0.243016397,,,,,,,,,,,,,,,,,,,,,,
26,M_K_DO,0.134570892,,,,,,,,,,,,,,,,,,,,,,
27,M_K_DO,0.239652946,,,,,,,,,,,,,,,,,,,,,,
28,M_K_DO,0.294746018,,,,,,,,,,,,,,,,,,,,,,
29,M_K_DO,0.06764007,,,,,,,,,,,,,,,,,,,,,,
30,M_K_DO,0.249860609,,,,,,,,,,,,,,,,,,,,,,
31,M_K_DO,0.259348027,,,,,,,,,,,,,,,,,,,,,,
32,M_K_DO,0.395646108,,,,,,,,,,,,,,,,,,,,,,
33,M_K_DO,0.24690508,,,,,,,,,,,,,,,,,,,,,,
34,M_K_DO,0.124221817,,,,,,,,,,,,,,,,,,,,,,
35,M_K_DO,0.180330766,,,,,,,,,,,,,,,,,,,,,,
36,M_K_DO,0.385661554,,,,,,,,,,,,,,,,,,,,,,
37,M_K_DO,0.204830738,,,,,,,,,,,,,,,,,,,,,,
38,M_K_DO,0.363094953,,,,,,,,,,,,,,,,,,,,,,
39,M_K_DO,0.349324168,,,,,,,,,,,,,,,,,,,,,,
40,M_K_DO,0.541373504,,,,,,,,,,,,,,,,,,,,,,
41,M_K_DO,0.298702272,,,,,,,,,,,,,,,,,,,,,,
42,M_K_DO,0.394362947,,,,,,,,,,,,,,,,,,,,,,
43,M_K_DO,0.06140578,,,,,,,,,,,,,,,,,,,,,,
44,M_K_DO,0.232625497,,,,,,,,,,,,,,,,,,,,,,
45,M_K_DO,0.402708177,,,,,,,,,,,,,,,,,,,,,,
46,M_K_DO,0.305783954,,,,,,,,,,,,,,,,,,,,,,
47,M_K_DO,0.119759663,,,,,,,,,,,,,,,,,,,,,,
48,M_K_DO,0.254069643,,,,,,,,,,,,,,,,,,,,,,
49,M_K_DO,0.29716913,,,,,,,,,,,,,,,,,,,,,,
50,M_K_DO,0.19146461,,,,,,,,,,,,,,,,,,,,,,
51,M_K_DO,0.329226991,,,,,,,,,,,,,,,,,,,,,,
52,M_K_DO,0.152988959,,,,,,,,,,,,,,,,,,,,,,
53,M_K_DO,0.189293512,,,,,,,,,,,,,,,,,,,,,,
54,M_K_DO,0.337085382,,,,,,,,,,,,,,,,,,,,,,
55,M_K_DO,0.525189254,,,,,,,,,,,,,,,,,,,,,,
56,M_K_DO,0.336345417,,,,,,,,,,,,,,,,,,,,,,
57,M_K_DO,0.197344489,,,,,,,,,,,,,,,,,,,,,,
58,M_K_DO,0.209738489,,,,,,,,,,,,,,,,,,,,,,
59,M_K_DO,0.371892153,,,,,,,,,,,,,,,,,,,,,,
60,M_K_DO,0.129050854,,,,,,,,,,,,,,,,,,,,,,
61,M_K_DO,0.236858967,,,,,,,,,,,,,,,,,,,,,,
62,M_K_DO,0.22324313,,,,,,,,,,,,,,,,,,,,,,
63,M_K_DO,0.138268536,,,,,,,,,,,,,,,,,,,,,,
64,M_K_DO,0.125217661,,,,,,,,,,,,,,,,,,,,,,
65,M_K_DO,0.269100611,,,,,,,,,,,,,,,,,,,,,,
66,M_K_DO,0.25444185,,,,,,,,,,,,,,,,,,,,,,
67,M_K_DO,0.112229153,,,,,,,,,,,,,,,,,,,,,,
68,M_K_DO,0.216099213,,,,,,,,,,,,,,,,,,,,,,
69,M_K_DO,0.273517089,,,,,,,,,,,,,,,,,,,,,,
70,M_K_DO,0.233638238,,,,,,,,,,,,,,,,,,,,,,
71,M_K_DO,0.363801326,,,,,,,,,,,,,,,,,,,,,,
72,M_K_DO,0.514357247,,,,,,,,,,,,,,,,,,,,,,
73,M_K_DO,0.204830738,,,,,,,,,,,,,,,,,,,,,,
1,M_K_UP,0.196668319,,,,,,,,,,,,,,,,,,,,,,
2,M_K_UP,0.136893989,,,,,,,,,,,,,,,,,,,,,,
3,M_K_UP,0.227150037,,,,,,,,,,,,,,,,,,,,,,
4,M_K_UP,0.186402894,,,,,,,,,,,,,,,,,,,,,,
5,M_K_UP,0.346111857,,,,,,,,,,,,,,,,,,,,,,
6,M_K_UP,0.221374115,,,,,,,,,,,,,,,,,,,,,,
7,M_K_UP,0.274311432,,,,,,,,,,,,,,,,,,,,,,
8,M_K_UP,0.366855336,,,,,,,,,,,,,,,,,,,,,,
9,M_K_UP,0.351864986,,,,,,,,,,,,,,,,,,,,,,
10,M_K_UP,0.258545262,,,,,,,,,,,,,,,,,,,,,,
11,M_K_UP,0.198401896,,,,,,,,,,,,,,,,,,,,,,
12,M_K_UP,0.154689324,,,,,,,,,,,,,,,,,,,,,,
13,M_K_UP,0.185190513,,,,,,,,,,,,,,,,,,,,,,
14,M_K_UP,0.151450148,,,,,,,,,,,,,,,,,,,,,,
15,M_K_UP,0.213002473,,,,,,,,,,,,,,,,,,,,,,
16,M_K_UP,0.195148779,,,,,,,,,,,,,,,,,,,,,,
17,M_K_UP,0.230817099,,,,,,,,,,,,,,,,,,,,,,
18,M_K_UP,0.166060756,,,,,,,,,,,,,,,,,,,,,,
