Factor,Coefficient (B),Std. Error,Std. Beta (β),t-value,p-value,VIF,Min,Max,AktWert,Transf,Standardisiert
lid_vel²,0.046094372606543206,0.004268602462235886,0.046094372606543206,10.79846929160957,1.719361804148959e-11,,,,,,
cam_at²,-0.012062123039639498,0.00418828993263184,-0.012062123039639498,-2.8799637163752636,0.007542767597551837,,,,,,
lid_at²,0.036645639910884174,0.00463529110961198,0.036645639910884174,7.905790390358413,1.305035765688082e-08,,,,,,
cam_dim²,0.01555106370292173,0.004679112797059907,0.01555106370292173,3.3235069076969355,0.0024863204145117957,,,,,,
cam_yaw²,-0.007988387262052888,0.003997079798946534,-0.007988387262052888,-1.9985558617464427,0.05545018949568116,,,,,,
ra_vel²,-0.009500842983769651,0.0038472440247342074,-0.009500842983769651,-2.469519199377022,0.019891685447893714,,,,,,
cam_pos²,-0.01277484668928326,0.003759134224081276,-0.01277484668928326,-3.3983481109683984,0.002051246904771821,,,,,,
lid_clas²,-0.014529436874136869,0.004712097521402226,-0.014529436874136869,-3.0834329739876005,0.004565017323864585,,,,,,
FP²,0.0119142084759065,0.004443809058375931,0.0119142084759065,2.681080199305584,0.012161808719922415,,,,,,
ra_drop²,-0.010887693994723568,0.00393490929948074,-0.010887693994723568,-2.766949163519559,0.009912022525735184,,,,,,
lid_pos³,0.03258944562144414,0.008313262172217704,0.03258944562144414,3.920175371150403,0.0005202846562959474,,,,,,
lid_yaw³,0.030056433491665462,0.00949226736917351,0.030056433491665462,3.1664124410649075,0.0037066463028199307,,,,,,
lid_dim³,0.03897175823860687,0.008506862224382255,0.03897175823860687,4.581214225723151,8.708260910314827e-05,,,,,,
cam_at³,-0.054431984905048504,0.009062705199471303,-0.054431984905048504,-6.0061519940231465,1.8000269962147673e-06,,,,,,
cam_dim³,-0.04815130012962871,0.008249862020201133,-0.04815130012962871,-5.836618844257322,2.8430000017006305e-06,,,,,,
ra_at³,0.037836317929355594,0.009886293851520463,0.037836317929355594,3.8271488282271275,0.0006666488986639401,,,,,,
cam_drop³,-0.04592445076892869,0.009658505890272026,-0.04592445076892869,-4.754819357224128,5.4213183965779246e-05,,,,,,
ra_yaw³,-0.033203737884952386,0.008873026039561829,-0.033203737884952386,-3.7420985509236786,0.0008352913171950045,,,,,,
ra_pos³,-0.02659989069294628,0.010903372906636743,-0.02659989069294628,-2.4396020314736986,0.021293816731544485,,,,,,
ra_clas³,0.026847379135600116,0.008333949046360853,0.026847379135600116,3.221447477810467,0.003225051227652443,,,,,,
cam_yaw³,0.032219164304914574,0.010816767370475431,0.032219164304914574,2.978631526536975,0.00592194016575976,,,,,,
